Id,Predicted
0,-9.105845732503351e+17
1,-8.657045730769733e+17
2,-4.932804766828869e+17
3,-4.951449277286646e+17
4,-6.26056026157195e+17
5,66587537349221.13
6,-9.67583505221252e+17
7,-5.4095715342491565e+17
8,-9.707131194766643e+17
9,-4.397440966541286e+17
10,-2.1268059429335056e+17
11,-3.079007727027092e+17
12,-1.931038583126851e+16
13,-6.44367598928226e+17
14,-4.068498532036233e+17
15,-6.823890827546202e+17
16,-1.5914421426459166e+16
17,-3.529805354881185e+17
18,-3.66164867883261e+17
19,-3.9499727155546534e+17
20,-5.245766192370119e+17
21,-4.468689631504935e+17
22,-3.87539467372353e+16
23,-7.486436824170761e+17
24,-3.383978648086422e+17
25,-1.8151762681392413e+17
26,-2.5915869536309334e+17
27,-7.124866496364593e+17
28,-5.802438004609445e+17
29,-9.387511015490476e+17
30,-4.369474200854621e+17
31,-9.145798254912872e+17
32,-9.497380452116655e+17
33,-8.750934158432106e+17
34,66587537349270.62
35,-8.628413089709573e+17
36,-2.5746737191442386e+18
37,-7.264034449424429e+17
38,-3.6969400736276845e+17
39,-3.32371692678541e+18
40,-1.7190238642069947e+18
41,-2.949162029196144e+17
42,-4.4993198986855686e+17
43,-1.0334385796596125e+18
44,-5.4868130775742355e+17
45,-4.735106368439092e+18
46,-4.463362628516993e+17
47,-4.316870046348755e+17
48,-9.598593508887446e+17
49,-4.9933994258166464e+17
50,-6.440346612414798e+17
51,-5.35164037675535e+17
52,-4.161055208951621e+17
53,-3.487189330977701e+17
54,-3.040386955364555e+17
55,-5.57204512538121e+17
56,-5.191164411743773e+17
57,-1.4615298572776317e+18
58,-7.423178663689019e+17
59,-4.56457568528778e+17
60,-7.876639793037084e+17
61,-7.012999433617933e+17
62,-5.6659335530435814e+17
63,-5.147216637093299e+17
64,-4.880866487696492e+17
65,-3.498509212327062e+17
66,-1.898410689825743e+17
67,-6.18931159660831e+17
68,-3.9439798371932243e+17
69,-5.347645124514397e+17
70,-9.972149593416466e+17
71,66587537349182.3
72,-3.8001507565189485e+17
73,-7.845343650482961e+17
74,-6.36044156759576e+17
75,-5.828407144175636e+17
76,-4.914160256371092e+17
77,-1.0990273039485765e+18
78,-4.360151945625729e+17
79,-1.194380657432633e+18
80,-5.566052247019782e+17
81,-6.101416047307361e+17
82,-7.003011303015558e+17
83,66587537349175.0
84,-3.0656902195572506e+17
85,66587537349550.65
86,-2.2786255280896854e+17
87,-8.36805581867419e+17
88,-7.355925250966327e+17
89,-4.151067078349239e+17
90,-8.197591723060238e+17
91,-4.438725239697793e+17
92,-5.000058179551565e+17
93,-7.01166768287095e+17
94,-7.69418994070027e+17
95,-1.817906357170559e+18
96,-4.948119900419188e+17
97,-5.678585185139931e+17
98,-6.14602969733133e+17
99,-3.654324049724194e+17
100,-8.154309823783259e+17
101,-3.3100664816288224e+17
102,-7.557019613760915e+17
103,-4.412756100131605e+17
104,-1.6813353180673456e+17
105,-2.92385876500345e+17
106,-4.415419601625572e+17
107,-3.302075977146919e+17
108,-6.941084893280799e+17
109,-8123679556602609.0
110,-6.222605365282913e+17
111,-2.330497219684715e+18
112,-3.495179835459602e+17
113,-6.869170352943662e+17
114,-1.3154368003334822e+18
115,-2.9584842844250355e+17
116,-5.916968568850076e+17
117,-4.187690223891303e+17
118,-7.21143029491856e+17
119,-4.681769751022382e+17
120,-5.763817232946912e+17
121,-4.330853429192087e+17
122,-3.4605543160380186e+17
123,-3.112301495701692e+17
124,-3.527807728760711e+17
125,-5.408239783502168e+17
126,-4.390782212806366e+17
127,-1.1386468886713517e+17
128,-5.964245720368008e+17
129,-8.469934750818472e+16
130,-9.472077187923963e+17
131,-7.481775696556319e+17
132,-4.647810106974285e+17
133,-1.824098998144035e+18
134,-6.794592311112557e+17
135,-4.089140668614484e+17
136,-2.7420747880401328e+17
137,-6.439014861667809e+17
138,-5.9063145628741976e+16
139,-6.824556702919697e+17
140,-5.7165400814289734e+17
141,66587537349287.82
142,-5.70721782620009e+17
143,-9.99745285760916e+17
144,-1.4469471865981555e+18
145,-3.927332952855921e+17
146,-3.6383430407603885e+17
147,-1.2700240998613263e+18
148,-6.832547207401599e+17
149,-2.8206480821121907e+17
150,-5.080629099744098e+17
151,-1.262899233364962e+18
152,66587537349370.54
153,-6.73399765212478e+17
154,-4.165716336566067e+17
155,-7.071596466485234e+17
156,-5.055325835551402e+17
157,-2.8419560940639338e+17
158,-3.8973685610487834e+17
159,-1.022651398609042e+18
160,-5.525433849236765e+17
161,-8.069077775976276e+17
162,-9.05923445635891e+17
163,-5.7118789538145325e+17
164,-4.679772124901904e+17
165,-4.2569412627344723e+17
166,-2.0226630345193551e+18
167,-8.609102703878308e+17
168,-4.527952539745724e+17
169,-6.321820795933224e+17
170,-1.9596712241870067e+17
171,-8.194928221566271e+17
172,-7.659564421278685e+17
173,-8.877450479395589e+17
174,-4.306216040372882e+17
175,66587537349723.87
176,66587537349260.484
177,-4.194348977626224e+17
178,-7.284676586002682e+17
179,-1.2977911029359437e+18
180,-7.437827921905844e+17
181,-5.137228506490919e+17
182,66587537349486.34
183,-3.1162967479426464e+17
184,-1.2495151383577723e+18
185,-8.142324067060403e+17
186,-5.4681685671164544e+17
187,-4.075823161144643e+17
188,-8.802206562190991e+17
189,-6.871833854437626e+17
190,-8.886772734624479e+17
191,-6.805246317088429e+17
192,-1.0893721110329421e+18
193,-9.504039205851579e+17
194,-4.2662635179633574e+17
195,-9.66251754474268e+17
196,-7.664891424266621e+17
197,-6.326481923547665e+17
198,-1.4462813112246636e+18
199,-9.47807006628539e+17
200,-8.239541871590234e+17
201,-4.5093080292879494e+17
202,-3.2015287957496224e+17
203,-1.8384819062114627e+18
204,-3.254132950255494e+17
205,-4.4080949725171576e+16
206,-7.69285818995329e+17
207,66587537349265.27
208,-6.371095573571629e+17
209,-1.1013578677557983e+18
210,-1.9690600669532475e+18
211,-3.6050492720857875e+17
212,-3.644935206957959e+18
213,-9.149793507153823e+17
214,-4.694421383118728e+17
215,-6.686720500606844e+17
216,-5.896326432271818e+17
217,-8.050433265518502e+17
218,-8.852813090576385e+17
219,-9.155120510141761e+17
220,66587537349301.89
221,-3.4825282033632576e+17
222,-5.434874798441852e+17
223,-1.3011204798034042e+17
224,-2.282953718017385e+18
225,-2.3721144305279657e+18
226,-9.012623180214465e+17
227,-2.6088997133417277e+17
228,-9.141137127298428e+17
229,66587537349336.73
230,-3.862077166253692e+16
231,-6.961061154485559e+17
232,-6.251903881716562e+17
233,-2.843287844810919e+17
234,-8.747604781564645e+17
235,-2.674155499943945e+17
236,-1.4322979283813315e+17
237,66587537349206.99
238,-2.0808605421625565e+17
239,-1.7425958524286128e+17
240,-7.166816644894591e+17
241,-5.412235035743121e+17
242,-5.220462928177423e+17
243,-1.333482022955116e+18
244,-4.478677762107317e+17
245,-1.1774008354085868e+18
246,-6.210619608560056e+17
247,-1.1240642179918766e+18
248,-7.42850566667696e+17
249,-6.688052251353833e+17
250,-7.575664124218692e+17
251,66587537349349.62
252,-6.684722874486364e+17
253,-2.473061137149356e+17
254,-5.863698538970714e+17
255,-5.15387539082822e+17
256,-1.6784054664239823e+18
257,-3.200862920376132e+17
258,-4.6950872584922176e+17
259,-7.446484301761242e+17
260,-9.994123480741701e+17
261,-4.0804842887590874e+17
262,-7.017660561232383e+17
263,-4.57922494350461e+17
264,-1.3229611920539418e+18
265,-5.33366174167106e+17
266,-6.77328429916081e+17
267,-5.843056402392462e+17
268,66587537349230.414
269,-8.782896176359722e+16
270,-3.804146008759899e+17
271,-3.728236216181814e+17
272,-4.511971530781916e+17
273,-3.465215443652464e+17
274,-6.726007147642872e+17
275,-4.213659363457492e+17
276,-2.7220985268353683e+17
277,-3.090993483749949e+17
278,-6.120060557765142e+17
279,-1.664022558356554e+17
280,-8.783562051733215e+17
281,-4.9461222742987117e+17
282,-5.280391711791705e+17
283,-1.0484207755631828e+18
284,-1.1467039806906048e+18
285,-4.916823757865062e+17
286,-4.831591710058086e+17
287,-3.716250459458954e+17
288,-3.594395266109916e+17
289,-6.802582815594459e+17
290,-5.554066490296924e+17
291,66587537349244.6
292,-4.247619007505584e+17
293,-8.254857005180552e+17
294,-4.860224351118243e+17
295,-5.697229695597709e+17
296,-7.73547421385678e+17
297,-2.989780426979163e+17
298,-3.3813151465924666e+17
299,-5.386931771550428e+17
300,-4.5306160412396864e+17
301,-3.773515741579261e+17
302,-6.60548370504082e+17
303,66587537349796.305
304,-3.4086160369056384e+17
305,-6.046148391307514e+16
306,-1.4648592341450908e+18
307,-3.924003575988463e+17
308,-4.948785775792676e+17
309,-6.05413889578943e+17
310,66587537349700.4
311,-5.78046411728421e+17
312,-2.1136881980757135e+18
313,-2.2986017892944474e+17
314,-1.4996845161787238e+18
315,-8.222229111879441e+17
316,-5.1698563997920314e+17
317,-8.864132971925751e+17
318,-4.4180831031195405e+17
319,-4.174372716421463e+17
320,-3.487855206351192e+17
321,-9.259662943780008e+17
322,-1.4218436850175066e+18
323,-5.264410702827891e+17
324,-7.034307445569682e+17
325,-4.1810314701563814e+17
326,-6.981037415690317e+17
327,-6.27121426754783e+17
328,-5.844388153139443e+17
329,-1.013195968305455e+18
330,-1.5653398280050363e+18
331,66587537349222.25
332,-1.3298197084009098e+18
333,-7.699516943688207e+17
334,-2.6894706335342618e+17
335,-3.328710992086599e+17
336,-4.193017226879236e+17
337,-8.97267065780495e+17
338,66587537349263.4
339,-6.556874802775905e+17
340,-5.3642920088517e+17
341,-4.0938017962289274e+17
342,-9.081208343684148e+17
343,-6.175994089138469e+17
344,-1.3583191743863677e+18
345,66587537349230.19
346,-5.026693194491246e+17
347,-5.372282513333604e+17
348,-2.753394669389497e+17
349,-7.422512788315529e+17
350,-8.174286084988019e+17
351,-6.123389934632594e+17
352,-4.230972123168279e+17
353,-5.6359691612364435e+17
354,-5.835731773284045e+17
355,-1.4884312223667082e+18
356,66587537349254.99
357,-2.1061638063552534e+17
358,-7.068932964991268e+17
359,-1.075455315726959e+18
360,-1.2983903907720868e+18
361,-1.15296320920143e+18
362,-4.974089039985367e+16
363,-1.9816451115122458e+17
364,-7.201442164316179e+17
365,-2.265308020619845e+17
366,-4.7909733122750714e+17
367,-3.963956098397985e+17
368,-7.016994685858889e+17
369,-5.7631513575734176e+17
370,-3.220173306207399e+17
371,-4.070496158156706e+17
372,-9.615906268598236e+17
373,-5.392924649911855e+17
374,-6.169335335403551e+17
375,-3.746880726639586e+17
376,-7.455140681616639e+17
377,-1.5820532998796861e+18
378,-8.610434454625289e+17
379,-3.5091632183029376e+17
380,-1.06952902490288e+18
381,-6.734663527498271e+17
382,-1.5980343088434947e+18
383,-4.294896159023518e+17
384,-4.073825535024167e+17
385,66587537349277.57
386,-2.8379608418229795e+17
387,-7.342607743496489e+17
388,-6.829217830534139e+17
389,-4.959439781768551e+17
390,66587537349275.234
391,-1.964265764264105e+18
392,-3.204192297243593e+17
393,-8.160968577518177e+17
394,-3.463217817531982e+17
395,66587537349269.375
396,-3.2148463032194643e+17
397,-7.45580655699013e+17
398,-1.615080718404891e+18
399,-1.598034308843495e+18
400,66587537349167.92
401,-7.63759053395345e+17
402,-1.0986943662618303e+18
403,-7.767436231784396e+17
404,-8.661706858384175e+17
405,-3.639674791507371e+17
406,-6.207290231692596e+17
407,-5.103268862442828e+17
408,-4.1796997194093984e+17
409,-6.193972724222753e+17
410,-8.988651666768755e+17
411,-5.343649872273444e+17
412,-5.992212486054674e+17
413,-5.4142326618636026e+17
414,-5.042008328081561e+17
415,-5.5913555112124774e+17
416,-3.8354421513140256e+17
417,-1.408925702771762e+18
418,-6.554877176655429e+17
419,-4.4314006105893805e+17
420,-4.1464059507347974e+17
421,-4.5639098099142925e+17
422,-6.491619016173688e+17
423,-3.266118706978351e+17
424,-4.165050461192574e+17
425,-1.9483513428376445e+17
426,-6.146695572704822e+17
427,-9.891578673223933e+17
428,-1.0380997072740567e+18
429,-3.955965593916076e+17
430,-7.08957510156952e+17
431,66587537349222.57
432,-4.350829690396848e+17
433,-1.72022243987928e+18
434,-1.064734722213737e+17
435,-5.982224355452292e+17
436,-7.118873618003169e+17
437,-7.383226141279501e+17
438,-7.035639196316667e+17
439,-9.737095586573783e+17
440,-1.6975160896432023e+18
441,-8.669697362866081e+17
442,-1.1829276010085706e+18
443,66587537349314.49
444,-6.858516346967791e+17
445,-1.598034308843495e+18
446,-2.247262797998213e+18
447,-7.082250472461108e+17
448,-7.903940683350262e+17
449,-4.863553727985692e+17
450,-5.312353729719323e+17
451,-1.2135578681892032e+18
452,-4.343505061288434e+17
453,-1.1046872446232576e+17
454,-5.055325835551405e+17
455,-4.773660552564281e+17
456,-8.154309823783256e+17
457,-4.508642153914457e+17
458,-1.6773400658263942e+17
459,-1.6720130628384582e+17
460,-4.599867080082863e+17
461,-9.188414278816365e+17
